position,fen,rubichess_move,rubichess_eval,rubichess_nodes,rubichess_time,rubichess_success,stockfish_move,stockfish_eval,stockfish_nodes,stockfish_time,stockfish_success
174,r1bq1rk1/ppp1bppp/2n2n2/3p4/3P4/2N1PN2/PPP1BPPP/R1BQ1RK1 w - - 0 7,a2a3,159,387494,0.24976587295532227,True,b2b3,171,59981,0.059252262115478516,True
175,r1bq1rk1/ppp2ppp/2n2n2/3p2N1/3P4/b1N1P3/PPP1BPPP/R1BQ1RK1 w - - 2 8,b2a3,520,272401,0.1407320499420166,True,b2a3,495,23910,0.020697593688964844,True
176,r1bq1rk1/ppp1bppp/2n2n2/3p2N1/3P4/2N1P3/PPP1BPPP/R1BQ1RK1 b - - 1 7,f8e8,-102,227080,0.1331331729888916,True,a7a6,-105,101205,0.10933947563171387,True
177,r1q2rk1/ppp1bppp/2n2n2/3pNb2/3P4/2N1PP2/PPP1B1PP/R1BQ1RK1 w - - 1 9,c1d2,162,211491,0.13347363471984863,True,g2g4,183,82161,0.0828084945678711,True
178,r1bq1rk1/ppp1bppp/2n2n2/3p4/3P4/2N1PNP1/PPP1BP1P/R1BQ1RK1 b - - 0 7,f8e8,-90,250589,0.16131091117858887,True,f8e8,-88,156182,0.16466856002807617,True
179,r1b2rk1/ppp1bppp/2nq1n2/3p4/3P4/2N1PN2/PPP1BPPP/R1BQ1RK1 b - - 3 8,c8e6,-133,272393,0.19968557357788086,True,c8f5,-138,96173,0.1157066822052002,True
180,r1bq1rk1/1pp1bpp1/p1n2n2/3p2Np/3P4/2N1P2P/PPP1BPP1/R1BQ1RK1 w - - 0 9,e2d3,172,155772,0.10007643699645996,True,a2a3,194,38908,0.032921552658081055,True
181,r1bq1rk1/ppp1bppp/2n5/3p4/3Pn3/4PN2/PPP1BPPP/R1BQ1RK1 w - - 0 8,c2c4,-398,76349,0.03351187705993652,True,c2c4,-424,19484,0.009313106536865234,True
182,r1bq1rk1/ppp1bppp/B4n2/n2p4/3P4/2N1PN2/PPP2PPP/R1BQ1RK1 w - - 2 8,a6d3,159,115617,0.0658102035522461,True,a6d3,163,81282,0.08376836776733398,True
183,r1bq1rk1/pp2bppp/5n2/n1pp4/1P1P3N/2N1P3/P1P1BPPP/R1BQ1RK1 w - - 0 9,b4a5,283,53780,0.0384366512298584,True,b4a5,347,31146,0.0303955078125,True
184,r1b1qrk1/ppp1bppp/2n2n2/3p4/3P2P1/2NQPN2/PPP1BP1P/R1B2RK1 b - - 0 8,c8g4,137,291918,0.1794569492340088,True,c8g4,117,158820,0.16677641868591309,True
185,r1bq1rk1/ppp1bppp/B1n2n2/3p4/3P4/2N1PN2/PPP2PPP/R1BQ1RK1 b - - 1 7,b7a6,469,304298,0.1500849723815918,True,b7a6,421,62287,0.06407499313354492,True
186,r2q1rk1/pppbbppp/2n2n2/3p4/3P4/2NBPN2/PPP2PPP/R1BQ1RK1 w - - 2 8,e3e4,190,140612,0.1037282943725586,True,h2h3,165,80069,0.08294439315795898,True
187,r2q1rk1/ppp1bppp/2n1bn2/3p4/3P4/2N1P3/PPPNBPPP/R1BQR1K1 b - - 3 8,a7a6,-123,179177,0.1172785758972168,True,e6f5,-132,85382,0.10918211936950684,True
188,rq3rk1/pppbbppp/2n2n2/3p4/2PP4/4PN2/PP2BPPP/RNBQ1RK1 w - - 1 9,c4d5,300,190182,0.10242986679077148,True,c4d5,273,36059,0.0328519344329834,True
189,r1bqkb1r/pp3ppp/2n2n2/2ppp3/3PP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 0 6,d4e5,105,252175,0.17416763305664062,True,d4e5,100,32849,0.05128359794616699,True
190,r1bqkb1r/p4ppp/1pn2n2/2ppp3/3PP3/5N2/PPP1NPPP/R1BQKB1R w KQkq - 0 7,f3e5,161,226843,0.16712117195129395,True,f3e5,185,67610,0.07451748847961426,True
191,r1bqkb1r/pp3ppp/2n2n2/2ppp3/3PP3/2N5/PPPN1PPP/1RBQKB1R w Kkq - 4 8,d4e5,134,365048,0.20755672454833984,True,d4e5,108,68616,0.07583737373352051,True
192,r1b1kb1r/pp3ppp/2nq1n2/2ppp3/3PP3/2N2N2/PPP1KPPP/R1BQ1B1R w kq - 2 7,d4e5,-20,229307,0.15013360977172852,True,d4e5,-33,432229,0.43793559074401855,True
